valor;descricao;dataPublicacao;tipoPublicacao;items
R$ 170.000;Apartamento com 2/4 à venda, 59 m² por R$ 190.000 - Nova Descoberta - Natal/RN;12/12 às 21:21;Profissional;"['""2 quartos', '59m²', 'Condomínio: R$ 550', '1 vaga"">2 quartos', '59m²', 'Condomínio: R$ 550', '1 vaga']"
R$ 280.000;Apartamento à venda, 100 m² por R$ 280.000,00 - Candelária - Natal/RN;12/12 às 21:15;Profissional;"['""3 quartos', '100m²', 'Condomínio: R$ 500', '2 vagas"">3 quartos', '100m²', 'Condomínio: R$ 500', '2 vagas']"
R$ 175.000;Apartamento próximo do TRT 3 dormitórios à venda, 73 m² por R$ 175.000 - Candelária - Nata;12/12 às 21:15;Profissional;"['""3 quartos', '73m²', 'Condomínio: R$ 220', '2 vagas"">3 quartos', '73m²', 'Condomínio: R$ 220', '2 vagas']"
R$ 85.000;Apartamento com 1 dormitório à venda, 25 m² por R$ 0 - Candelária - Natal/RN;12/12 às 21:11;Profissional;"['""1 quarto', '25m²', '5 ou mais vaga"">1 quarto', '25m²', '5 ou mais vaga']"
R$ 430.000;Apartamento com 3 dormitórios à venda, 95 m² por R$ 430.000,00 - Capim Macio - Natal/RN;12/12 às 21:09;Profissional;"['""3 quartos', '95m²', 'Condomínio: R$ 620', '2 vagas"">3 quartos', '95m²', 'Condomínio: R$ 620', '2 vagas']"
R$ 300.000;Apartamento à venda, 85 m² por R$ 300.000,00 - Neópolis - Natal/RN;12/12 às 21:08;Profissional;"['""3 quartos', '85m²', 'Condomínio: R$ 500', '1 vaga"">3 quartos', '85m²', 'Condomínio: R$ 500', '1 vaga']"
R$ 293.538;Apartamento com 2 dormitórios à venda, 54 m² por R$ 293.538,00 - Cidade da Esperança - Nat;12/12 às 21:08;Profissional;"['""2 quartos', '54m²', 'Condomínio: R$ 294', '1 vaga"">2 quartos', '54m²', 'Condomínio: R$ 294', '1 vaga']"
R$ 220.000;Apartamento com 3 dormitórios à venda, 98 m² por R$ 220.000,00 - Candelária - Natal/RN;12/12 às 21:03;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 500', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 500', '2 vagas']"
R$ 209.900;Apartamento com 2 dormitórios à venda, 50 m² a partir R$ 209.900 - Lagoa Seca - Natal/RN;12/12 às 21:01;Profissional;"['""2 quartos', '50m²"">2 quartos', '50m²']"
R$ 564.000;Apartamento com 2 dormitórios à venda, 55 m² por R$ 489.000 - Ponta Negra - Natal/RN;12/12 às 20:55;Profissional;"['""2 quartos', '55m²"">2 quartos', '55m²']"
R$ 380.000;Apartamento com 2/4 à venda, 55 m² por R$ 380.000 - Ponta Negra - Natal/RN;12/12 às 20:53;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 450', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 450', '1 vaga']"
R$ 369.000;Apartamento Torre Amintas Barros;12/12 às 20:29;12/12 às 20:29<!-- --> ;"['""3 quartos', '79m²', 'Condomínio: R$ 0', '2 vagas"">3 quartos', '79m²', 'Condomínio: R$ 0', '2 vagas']"
R$ 1.000.000;Apartamento com 3 dormitórios à venda, 204 m² por R$ 1.000.000,00 - Lagoa Nova - Natal/RN;12/12 às 20:28;Profissional;"['""3 quartos', '204m²', 'Condomínio: R$ 1.800', '3 vagas"">3 quartos', '204m²', 'Condomínio: R$ 1.800', '3 vagas']"
R$ 200.000;Apartamento com 2 dormitórios à venda, 57 m² por R$ 200.000,00 - Neópolis - Natal/RN;12/12 às 20:24;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 300', '2 vagas"">2 quartos', '57m²', 'Condomínio: R$ 300', '2 vagas']"
R$ 410.000;Apartamento com 2 dormitórios à venda, 60 m² por R$ 410.000 - Ponta Negra - Natal/RN;12/12 às 20:24;Profissional;"['""2 quartos', '60m²', '1 vaga"">2 quartos', '60m²', '1 vaga']"
R$ 269.000;Apartamento à venda com 1 dormitórios em Petrópolis, Natal cod:818726;12/12 às 20:21;Profissional;"['""1 quarto', '48m²', 'Condomínio: R$ 1.300', '1 vaga"">1 quarto', '48m²', 'Condomínio: R$ 1.300', '1 vaga']"
R$ 220.000;Apartamento à venda, 87 m² por R$ 220.000,00 - Tirol - Natal/RN;12/12 às 20:18;Profissional;"['""2 quartos', '87m²', 'Condomínio: R$ 850', '1 vaga"">2 quartos', '87m²', 'Condomínio: R$ 850', '1 vaga']"
R$ 150.000;Apartamento com 1 dormitório à venda, 48 m² por R$ 150.000,00 - Candelária - Natal/RN;12/12 às 20:18;Profissional;"['""1 quarto', '48m²', 'Condomínio: R$ 400', '1 vaga"">1 quarto', '48m²', 'Condomínio: R$ 400', '1 vaga']"
R$ 2.800.000;Apartamento à venda, 503 m² por R$ 2.800.000,00 - Petrópolis - Natal/RN;12/12 às 20:05;Profissional;"['""4 quartos', '503m²', 'Condomínio: R$ 2.500', '3 vagas"">4 quartos', '503m²', 'Condomínio: R$ 2.500', '3 vagas']"
R$ 642.598;Apartamento à venda com 4 dormitórios em Capim macio, Natal cod:815351;12/12 às 20:03;Profissional;"['""4 quartos', '110m²', '2 vagas"">4 quartos', '110m²', '2 vagas']"
R$ 210.000;Apartamento com 2 dormitórios à venda, 67 m² por R$ 210.000,00 - Candelária - Natal/RN;12/12 às 20:01;Profissional;"['""2 quartos', '67m²', 'Condomínio: R$ 500', '2 vagas"">2 quartos', '67m²', 'Condomínio: R$ 500', '2 vagas']"
R$ 495.000;Apartamento com 3 dormitórios à venda, 89 m² por R$ 495.000,00 - Lagoa Nova - Natal/RN;12/12 às 19:54;Profissional;"['""3 quartos', '89m²', '2 vagas"">3 quartos', '89m²', '2 vagas']"
R$ 469.000;Apartamento com 2 dormitórios à venda, 60 m² por R$ 469.000 - Ponta Negra - Natal/RN;12/12 às 19:44;Profissional;"['""2 quartos', '60m²', '1 vaga"">2 quartos', '60m²', '1 vaga']"
R$ 150.000;Apartamento com 2 dormitórios à venda, 65 m² por R$ 150.000,00 - Neópolis - Natal/RN;12/12 às 19:38;Profissional;"['""2 quartos', '65m²', 'Condomínio: R$ 210"">2 quartos', '65m²', 'Condomínio: R$ 210']"
R$ 214.900;Apartamento com 2 dormitórios à venda a partir R$ 214.900 - Lagoa Seca - Natal/RN;12/12 às 19:35;Profissional;"['""2 quartos', '50m²"">2 quartos', '50m²']"
R$ 230.668;Apartamento com 2 dormitórios à venda, 56 m² a partir de R$ 230.668 - Ribeira - Natal/RN;12/12 às 19:34;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 400', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 400', '1 vaga']"
R$ 580.000;Apartamento à venda, 160 m² por R$ 580.000,00 - Petrópolis - Natal/RN;12/12 às 19:34;Profissional;"['""3 quartos', '160m²', 'Condomínio: R$ 1.280', '2 vagas"">3 quartos', '160m²', 'Condomínio: R$ 1.280', '2 vagas']"
R$ 100.000;Apartamento com 2 dormitórios à venda, 55 m² por R$ 100.000,00 - Neópolis - Natal/RN;12/12 às 19:31;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 100', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 100', '1 vaga']"
R$ 400.000;Apartamento à venda, 98 m² por R$ 400.000,00 - Barro Vermelho - Natal/RN;12/12 às 19:28;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 580"">3 quartos', '98m²', 'Condomínio: R$ 580']"
R$ 5.500.000;Apartamento à venda, 480 m² por R$ 5.500.000,00 - Petrópolis - Natal/RN;12/12 às 19:27;Profissional;"['""3 quartos', '480m²', 'Condomínio: R$ 2.900', '5 ou mais vaga"">3 quartos', '480m²', 'Condomínio: R$ 2.900', '5 ou mais vaga']"
R$ 190.000;Apartamento à venda, 57 m² por R$ 190.000,00 - Pitimbu - Natal/RN;12/12 às 19:25;Profissional;"['""2 quartos', '57m²"">2 quartos', '57m²']"
R$ 210.000;Apartamento Residencial à venda, Petrópolis, Natal - .;12/12 às 19:25;Profissional;"['""2 quartos', '64m²', 'Condomínio: R$ 768', '1 vaga"">2 quartos', '64m²', 'Condomínio: R$ 768', '1 vaga']"
R$ 750.000;Apartamento com 4 dormitórios à venda, 250 m² por R$ 750.000,00 - Candelária - Natal/RN;12/12 às 19:22;Profissional;"['""4 quartos', '250m²', 'Condomínio: R$ 1.545', '3 vagas"">4 quartos', '250m²', 'Condomínio: R$ 1.545', '3 vagas']"
R$ 225.000;Lindo apto P Negra J;12/12 às 18:55;Profissional;"['""2 quartos', '55m²', '1 vaga"">2 quartos', '55m²', '1 vaga']"
R$ 430.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:821977;12/12 às 18:36;Profissional;"['""3 quartos', '170m²', 'Condomínio: R$ 1.000', '2 vagas"">3 quartos', '170m²', 'Condomínio: R$ 1.000', '2 vagas']"
R$ 189.900;Flat 107 - oportunidade perto da praia;12/12 às 18:33;12/12 às 18:33<!-- --> ;"['""1 quarto', '35m²', 'Condomínio: R$ 700', '1 vaga"">1 quarto', '35m²', 'Condomínio: R$ 700', '1 vaga']"
R$ 125.000;Apartamento 2 quartos Serrambi 2_ 1º andar;12/12 às 18:20;Profissional;"['""2 quartos', '50m²', 'Condomínio: R$ 168', '1 vaga"">2 quartos', '50m²', 'Condomínio: R$ 168', '1 vaga']"
R$ 450.000;Apartamento à venda com 2 quartos Blue Ocea;12/12 às 17:55;Profissional;"['""2 quartos', '56m²', '1 vaga"">2 quartos', '56m²', '1 vaga']"
R$ 120.000;Apartamento à venda, 55 m² por R$ 120.000,00 - Bom Pastor - Natal/RN;12/12 às 17:48;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 140', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 140', '1 vaga']"
R$ 222.900;Apartamento com 2 dormitórios à venda, 50 m² por R$ 222.900,00 - Lagoa Seca - Natal/RN;12/12 às 17:47;Profissional;"['""2 quartos', '50m²"">2 quartos', '50m²']"
R$ 600.000;Requinte, sofisticação e a melhor localização de Lagoa Nova_ Apto 3 suítes;12/12 às 17:34;Profissional;"['""3 quartos', '113m²', 'Condomínio: R$ 730', '3 vagas"">3 quartos', '113m²', 'Condomínio: R$ 730', '3 vagas']"
R$ 298.999;Apartamento à venda com 2 dormitórios em Ponta negra, Natal cod:2099;12/12 às 16:56;Profissional;"['""2 quartos', '60m²', 'Condomínio: R$ 370', '1 vaga"">2 quartos', '60m²', 'Condomínio: R$ 370', '1 vaga']"
R$ 650.000;Residencial Golden Green em Candelária com 3 suítes;12/12 às 16:35;Profissional;"['""3 quartos', '123m²', 'Condomínio: R$ 550', '2 vagas"">3 quartos', '123m²', 'Condomínio: R$ 550', '2 vagas']"
R$ 650.000;Residencial Milton Diogenes com 4 quartos no Barro Vermelho;12/12 às 16:16;Profissional;"['""4 quartos', '108m²', 'Condomínio: R$ 650', '2 vagas"">4 quartos', '108m²', 'Condomínio: R$ 650', '2 vagas']"
R$ 1.201.872;Apartamento à venda, 136 m² por R$ 1.201.872,09 - Lagoa Nova - Natal/RN;12/12 às 15:55;Profissional;"['""3 quartos', '136m²', '3 vagas"">3 quartos', '136m²', '3 vagas']"
R$ 474.000;Apartamento com 2 dormitórios à venda, 55 m² por R$ 399.000 - Ponta Negra - Natal/RN;12/12 às 15:54;Profissional;"['""2 quartos', '55m²"">2 quartos', '55m²']"
R$ 130.000;Apartamento com 1 dormitório à venda, 48 m² por R$ 130.000 - Candelária - Natal/RN;12/12 às 15:54;Profissional;"['""1 quarto', '48m²', 'Condomínio: R$ 400', '1 vaga"">1 quarto', '48m²', 'Condomínio: R$ 400', '1 vaga']"
R$ 450.000;Capim macio Parque cidade jardim;12/12 às 15:51;Profissional;"['""3 quartos', '77m²', 'Condomínio: R$ 450', '2 vagas"">3 quartos', '77m²', 'Condomínio: R$ 450', '2 vagas']"
R$ 695.000;Belíssimo apt. em Candelária c/ 175 m², 3 suítes, 3 vagas e excelente localização;12/12 às 15:40;Profissional;"['""3 quartos', '174m²', 'Condomínio: R$ 1.300', '3 vagas"">3 quartos', '174m²', 'Condomínio: R$ 1.300', '3 vagas']"
R$ 185.000;Apartamento à venda, 64 m² por R$ 185.000,00 - Candelária - Natal/RN;12/12 às 15:34;Profissional;"['""3 quartos', '64m²', 'Condomínio: R$ 300', '2 vagas"">3 quartos', '64m²', 'Condomínio: R$ 300', '2 vagas']"
R$ 279.000;Paradise Vilage capim macio ;12/12 às 15:18;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 390', '2 vagas"">2 quartos', '55m²', 'Condomínio: R$ 390', '2 vagas']"
R$ 209.999;Apartamento no Condomínio Califórnia de 55m² em Lagoa Nova - R6 Cl;12/12 às 14:34;Profissional;"['""2 quartos', '55m²', '1 vaga"">2 quartos', '55m²', '1 vaga']"
R$ 659.995;Estrela Do Atlântico (Cobertura Duplex);12/12 às 13:37;Profissional;"['""2 quartos', '121m²', 'Condomínio: R$ 700', '2 vagas"">2 quartos', '121m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 209.900;Apartamento Residencial Calinfórnia, próximo ao Mangai.;12/12 às 13:03;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 560', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 560', '1 vaga']"
R$ 650.000;NA - Apartamento com 4 quartos à venda, 120 m²;12/12 às 12:28;Profissional;"['""4 quartos', '120m²', 'Condomínio: R$ 710', '2 vagas"">4 quartos', '120m²', 'Condomínio: R$ 710', '2 vagas']"
R$ 348.390;Apartamento // 3 quartos à venda, 76 m²;12/12 às 12:26;Profissional;"['""3 quartos', '76m²', '2 vagas"">3 quartos', '76m²', '2 vagas']"
R$ 959.900;NA - Apartamento com 3 suítes no Carrara com 131 m²;12/12 às 12:26;Profissional;"['""3 quartos', '131m²', '3 vagas"">3 quartos', '131m²', '3 vagas']"
R$ 310.000;Apartamento com 2 quartos à venda, 58 m²;12/12 às 12:26;Profissional;"['""2 quartos', '58m²', '1 vaga"">2 quartos', '58m²', '1 vaga']"
R$ 629.900;Apartamento *3 dormitórios à venda, 126 m²;12/12 às 12:25;Profissional;"['""3 quartos', '126m²', 'Condomínio: R$ 778', '3 vagas"">3 quartos', '126m²', 'Condomínio: R$ 778', '3 vagas']"
R$ 950.000;Apartamento com 4 quartos à venda, 164 m²;12/12 às 12:25;Profissional;"['""4 quartos', '164m²', 'Condomínio: R$ 970', '3 vagas"">4 quartos', '164m²', 'Condomínio: R$ 970', '3 vagas']"
R$ 375.830;Apartamento com 3 dormitórios à venda, 75 m²- Lagoa nova;12/12 às 12:24;Profissional;"['""3 quartos', '75m²', '2 vagas"">3 quartos', '75m²', '2 vagas']"
R$ 229.957;Apartamento 2 /4à venda, 50 m²;12/12 às 12:24;Profissional;"['""2 quartos', '50m²', '1 vaga"">2 quartos', '50m²', '1 vaga']"
R$ 164.900;Apartamento com 2 dormitórios à venda, 41 m² - Neópolis - Natal/RN;12/12 às 12:15;Profissional;"['""2 quartos', '41m²', '1 vaga"">2 quartos', '41m²', '1 vaga']"
R$ 340.000;Apto 2 quartos em Ponta Negra;12/12 às 11:30;12/12 às 11:30<!-- --> ;"['""2 quartos', '62m²', 'Condomínio: R$ 1.400', '1 vaga"">2 quartos', '62m²', 'Condomínio: R$ 1.400', '1 vaga']"
R$ 220.000;Vila romana por tras do midway;12/12 às 10:33;Profissional;"['""3 quartos', '100m²', '1 vaga"">3 quartos', '100m²', '1 vaga']"
R$ 135.000;Apês c 2 quartos e lazer total - Praias do Centro ;12/12 às 09:31;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 270', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 270', '1 vaga']"
R$ 113.000;Apartamento em Planalto- 2 quartos(1 suíte);12/12 às 09:18;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 200', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 200', '1 vaga']"
R$ 587.000;Apartmento no Portamaris Club em Ponta Negra com 3 quartos;12/12 às 08:37;Profissional;"['""3 quartos', '79m²', 'Condomínio: R$ 0', '2 vagas"">3 quartos', '79m²', 'Condomínio: R$ 0', '2 vagas']"
R$ 849.900;Edificil Cap Ferrat Apartamento 192m² 3 suites + dependência;12/12 às 08:35;Profissional;"['""4 quartos', '317m²', '3 vagas"">4 quartos', '317m²', '3 vagas']"
R$ 2.270.000;Vendo apartamento 4 suítes, mobiliado, 250m² de frente pro mar em Areia Preta;12/12 às 08:33;Profissional;"['""4 quartos', '250m²', 'Condomínio: R$ 2.000', '4 vagas"">4 quartos', '250m²', 'Condomínio: R$ 2.000', '4 vagas']"
R$ 215.000;Vende-se apto cond. Vila Romana, II 215mil reais  ;12/12 às 08:26;Profissional;"['""3 quartos', '89m²', 'Condomínio: R$ 596', '1 vaga"">3 quartos', '89m²', 'Condomínio: R$ 596', '1 vaga']"
R$ 300.000;Belissimo Flat mobiliado, 9° andar(vista Mar) no Apple Flat - Ponta Negra;12/12 às 08:15;Profissional;"['""1 quarto', '34m²', 'Condomínio: R$ 450', '1 vaga"">1 quarto', '34m²', 'Condomínio: R$ 450', '1 vaga']"
R$ 230.000;Apartamento com 3 dormitórios à venda, 97 m² por R$ 230.000 - Lagoa Nova - Natal/RN;12/12 às 04:27;Profissional;"['""3 quartos', '97m²', 'Condomínio: R$ 740', '1 vaga"">3 quartos', '97m²', 'Condomínio: R$ 740', '1 vaga']"
R$ 245.000;3 quartos reformado em Candelária;12/12 às 00:44;12/12 às 00:44<!-- --> ;"['""3 quartos', '81m²', 'Condomínio: R$ 490', '2 vagas"">3 quartos', '81m²', 'Condomínio: R$ 490', '2 vagas']"
R$ 105.000;Apartamento à venda com 2 dormitórios em Planalto, Natal cod:AP1451;11/12 às 23:03;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 200', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 200', '1 vaga']"
R$ 549.900;Apartamento no Antonio Alves Pereira - Próximo ao Arena da Dunas;11/12 às 22:36;Profissional;"['""3 quartos', '92m²', '2 vagas"">3 quartos', '92m²', '2 vagas']"
R$ 230.000;Flat para Venda em Natal, Ponta Negra, 1 dormitório, 1 banheiro, 1 vaga;11/12 às 22:28;Profissional;"['""1 quarto', '52m²', 'Condomínio: R$ 650', '1 vaga"">1 quarto', '52m²', 'Condomínio: R$ 650', '1 vaga']"
R$ 1.200.000;Apartamento à venda com 4 dormitórios em Capim macio, Natal cod:820286;11/12 às 22:22;Profissional;"['""4 quartos', '260m²', 'Condomínio: R$ 1.250', '3 vagas"">4 quartos', '260m²', 'Condomínio: R$ 1.250', '3 vagas']"
R$ 324.000;Apartamento à venda com 3 dormitórios em Capim macio, Natal cod:AP1627;11/12 às 22:03;Profissional;"['""3 quartos', '87m²', 'Condomínio: R$ 700', '2 vagas"">3 quartos', '87m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 200.000;Apartamento à venda com 2 dormitórios em Lagoa nova, Natal cod:AV-8170;11/12 às 21:53;Profissional;"['""2 quartos', '54m²', 'Condomínio: R$ 500', '1 vaga"">2 quartos', '54m²', 'Condomínio: R$ 500', '1 vaga']"
R$ 179.900;Apartamento Praia do Forte - MRV;11/12 às 21:49;Profissional;"['""2 quartos', '42m²', '1 vaga"">2 quartos', '42m²', '1 vaga']"
R$ 870.000;Apartamento à venda com 4 dormitórios em Tirol, Natal cod:AP1474;11/12 às 21:38;Profissional;"['""4 quartos', '187m²', 'Condomínio: R$ 1.300', '3 vagas"">4 quartos', '187m²', 'Condomínio: R$ 1.300', '3 vagas']"
R$ 153.900;Com 500 reais de entrada* você compra o seu imóvel na MRV;11/12 às 21:34;Profissional;"['""2 quartos', '41m²', 'Condomínio: R$ 180', '1 vaga"">2 quartos', '41m²', 'Condomínio: R$ 180', '1 vaga']"
R$ 450.000;Apartamento à venda no Residencial Caminho do Sol, com 95m2;11/12 às 21:32;11/12 às 21:32<!-- --> ;"['""3 quartos', '95m²', 'Condomínio: R$ 690', '2 vagas"">3 quartos', '95m²', 'Condomínio: R$ 690', '2 vagas']"
R$ 201.000;Apartamento Torres das Dunas - MRV;11/12 às 21:02;Profissional;"['""2 quartos', '50m²', '1 vaga"">2 quartos', '50m²', '1 vaga']"
R$ 460.000;Apartamento à venda com 3 dormitórios em Capim macio, Natal cod:AV-8167;11/12 às 20:38;Profissional;"['""3 quartos', '105m²', 'Condomínio: R$ 684"">3 quartos', '105m²', 'Condomínio: R$ 684']"
R$ 130.000;Apartamento à venda com 1 dormitórios em Praia do meio, Natal cod:815410;11/12 às 20:02;Profissional;"['""1 quarto', '53m²', 'Condomínio: R$ 320"">1 quarto', '53m²', 'Condomínio: R$ 320']"
R$ 1.050.000;Apartamento à venda com 3 dormitórios em Capim macio, Natal cod:AV-8168;11/12 às 19:37;Profissional;"['""3 quartos', '165m²', 'Condomínio: R$ 1.000', '4 vagas"">3 quartos', '165m²', 'Condomínio: R$ 1.000', '4 vagas']"
R$ 145.000;Apartamento para Venda em Natal, Lagoa Nova, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga;11/12 às 19:23;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 400', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 400', '1 vaga']"
R$ 300.000;Apartamento no Ahead Lagoa Nova - 58m² - Lagoa Nova;11/12 às 19:11;Profissional;"['""2 quartos', '58m²', 'Condomínio: R$ 550', '1 vaga"">2 quartos', '58m²', 'Condomínio: R$ 550', '1 vaga']"
R$ 340.000;Apartamento 1 dormitório Ponta Negra Natal RN;11/12 às 18:35;11/12 às 18:35<!-- --> ;"['""1 quarto', '40m²', 'Condomínio: R$ 550', '1 vaga"">1 quarto', '40m²', 'Condomínio: R$ 550', '1 vaga']"
R$ 260.000;Excelente Apartamento Residencial caminho das Dunas;11/12 às 18:16;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 350', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 350', '1 vaga']"
R$ 680.230;S.E.M.I.M.O.B.I.L.I.A.D.O em Capim Macio - 100% com mobilia - Aberto a Negociação;11/12 às 17:54;Profissional;"['""3 quartos', '110m²', '2 vagas"">3 quartos', '110m²', '2 vagas']"
R$ 540.230;Apartamento em Lagoa Nova - 159m² - 3Quartos + dependencia - Aceita Proposta!;11/12 às 17:51;Profissional;"['""3 quartos', '159m²', '2 vagas"">3 quartos', '159m²', '2 vagas']"
R$ 289.100;Apartamento com 3 quartos à venda, 76 m² por R$ 289.100;11/12 às 17:49;Profissional;"['""3 quartos', '76m²', 'Condomínio: R$ 300', '2 vagas"">3 quartos', '76m²', 'Condomínio: R$ 300', '2 vagas']"
R$ 162.900;Apartamento 2 quartos à venda, 45 m² por R$ 162.900;11/12 às 17:47;Profissional;"['""2 quartos', '45m²', '1 vaga"">2 quartos', '45m²', '1 vaga']"
R$ 329.900;Green Life 3/4 - 70 m²;11/12 às 17:46;Profissional;"['""3 quartos', '70m²', 'Condomínio: R$ 390', '2 vagas"">3 quartos', '70m²', 'Condomínio: R$ 390', '2 vagas']"
R$ 700.230;Apto em Petropolis - Novo - S.E.M.I.M.O.B.I.L.I.A.D.O - Aberto a Negociação;11/12 às 17:41;Profissional;"['""2 quartos', '103m²', '2 vagas"">2 quartos', '103m²', '2 vagas']"
R$ 3.400.000;Cobertura em Areia Preta - Resid. Porto Atlantico;11/12 às 17:30;Profissional;"['""4 quartos', '442m²', '4 vagas"">4 quartos', '442m²', '4 vagas']"
R$ 380.230;Oportunidade em Petropolis - com 118m² 3Suites 2Vagas;11/12 às 17:20;Profissional;"['""3 quartos', '118m²', '2 vagas"">3 quartos', '118m²', '2 vagas']"
R$ 530.230;Apartamento em Capim Macio - Lindo S.E.M.I.M.O.B.I.L.I.A.D.O, Vista MAR;11/12 às 17:06;Profissional;"['""2 quartos', '92m²', '2 vagas"">2 quartos', '92m²', '2 vagas']"
R$ 280.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:816690;11/12 às 17:03;Profissional;"['""3 quartos', '174m²', 'Condomínio: R$ 1.000', '1 vaga"">3 quartos', '174m²', 'Condomínio: R$ 1.000', '1 vaga']"
R$ 419.900;Apartamento com 3 quartos à venda, 79 m² - Terramaris;11/12 às 16:59;Profissional;"['""3 quartos', '79m²', 'Condomínio: R$ 500', '2 vagas"">3 quartos', '79m²', 'Condomínio: R$ 500', '2 vagas']"
R$ 680.230;O Único 3 Quartos vista MAR em Ponta Negra - Residencial Joan Miró;11/12 às 16:53;Profissional;"['""3 quartos', '90m²', '2 vagas"">3 quartos', '90m²', '2 vagas']"
R$ 999.900;Apartamento com 4 quartos à venda, 164 m²;11/12 às 16:45;Profissional;"['""4 quartos', '164m²', 'Condomínio: R$ 970', '3 vagas"">4 quartos', '164m²', 'Condomínio: R$ 970', '3 vagas']"
R$ 220.000;Apartamento com 2 quartos à venda, 50 m²;11/12 às 16:39;Profissional;"['""2 quartos', '50m²', '1 vaga"">2 quartos', '50m²', '1 vaga']"
R$ 600.000;Apartamento no Residencial Passaredo, com 3 dormitórios à venda, 98 m²;11/12 às 16:39;Profissional;"['""3 quartos', '98m²', 'Condomínio: R$ 497', '2 vagas"">3 quartos', '98m²', 'Condomínio: R$ 497', '2 vagas']"
R$ 399.900;Apartamento de 92 m² * L`acqua Condominium Club, com 3 dormitórios;11/12 às 16:39;Profissional;"['""3 quartos', '92m²', 'Condomínio: R$ 498', '2 vagas"">3 quartos', '92m²', 'Condomínio: R$ 498', '2 vagas']"
R$ 230.000;Apartamento com 2 quartos à venda, 57 m²;11/12 às 16:38;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 360', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 360', '1 vaga']"
R$ 711.065;Apartamento 3 /4s à venda, 140 m²;11/12 às 16:37;Profissional;"['""3 quartos', '140m²', '3 vagas"">3 quartos', '140m²', '3 vagas']"
R$ 164.900;Apartamento com 2 dormitórios à venda, 41 m² por R$ 164.900,00 - Ponta Negra - Parnamirim/;11/12 às 16:37;Profissional;"['""2 quartos', '41m²', '1 vaga"">2 quartos', '41m²', '1 vaga']"
R$ 523.000;NA - Apartamento com 3 quartos à venda, 102 m²;11/12 às 16:37;Profissional;"['""3 quartos', '102m²', 'Condomínio: R$ 500', '2 vagas"">3 quartos', '102m²', 'Condomínio: R$ 500', '2 vagas']"
R$ 397.690;Apartamento com 3 dormitórios à venda, 70 m² por R$ 397.690,00 - Lagoa Nova - Natal/RN;11/12 às 16:37;Profissional;"['""3 quartos', '70m²', '2 vagas"">3 quartos', '70m²', '2 vagas']"
R$ 230.000;Apartamento no Costa do Atlântico;11/12 às 16:35;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 429', '1 vaga"">2 quartos', '57m²', 'Condomínio: R$ 429', '1 vaga']"
R$ 200.000;Apartamento com 3 quartos à venda, 82 m²;11/12 às 16:35;Profissional;"['""3 quartos', '82m²', '1 vaga"">3 quartos', '82m²', '1 vaga']"
R$ 162.900;Apartamento com 2 dormitórios à venda, 45 m² por R$ 162.900,00 - Ponta Negra - Parnamirim/;11/12 às 16:35;Profissional;"['""2 quartos', '45m²', '1 vaga"">2 quartos', '45m²', '1 vaga']"
R$ 908.000;Apartamento no Tirol Concetto com 194m2;11/12 às 16:35;Profissional;"['""3 quartos', '194m²', '3 vagas"">3 quartos', '194m²', '3 vagas']"
R$ 323.605;Apartamento com 3 dormitórios à venda, 70 m² por R$ 323.605,00 - Lagoa Nova - Natal/RN;11/12 às 16:34;Profissional;"['""3 quartos', '70m²', 'Condomínio: R$ 330', '2 vagas"">3 quartos', '70m²', 'Condomínio: R$ 330', '2 vagas']"
