valor;descricao;dataPublicacao;tipoPublicacao;items
R$ 230.000;O menor preço do Green Life ? com VAGA coberta;Hoje às 09:27;Hoje às 09:27<!-- --> ;"['""2 quartos', '75m²', 'Condomínio: R$ 332', '1 vaga"">2 quartos', '75m²', 'Condomínio: R$ 332', '1 vaga']"
R$ 90.000;Apartamento com 1 dormitório à venda, 61 m² por R$ 90.000,00 - Cidade Alta - Natal/RN;Hoje às 09:25;Profissional;"['""1 quarto', '61m²', 'Condomínio: R$ 250', '1 vaga"">1 quarto', '61m²', 'Condomínio: R$ 250', '1 vaga']"
R$ 140.000;Apartamento à venda com 2 dormitórios em Dixsept rosado, Natal cod:801797;Hoje às 09:05;Profissional;"['""2 quartos', '74m²', 'Condomínio: R$ 70"">2 quartos', '74m²', 'Condomínio: R$ 70']"
R$ 581.662;Apartamento à venda com 4 dormitórios em Capim macio, Natal cod:815345;Hoje às 09:05;Profissional;"['""4 quartos', '108m²', '2 vagas"">4 quartos', '108m²', '2 vagas']"
R$ 219.000;Apartamento em Lagoa Seca;Hoje às 08:56;Profissional;"['""2 quartos', '50m²', '1 vaga"">2 quartos', '50m²', '1 vaga']"
R$ 1.700.000;Apartamento Noilde Ramalho Andar Alto, 3 suítes, Petrópolis;Hoje às 08:55;Profissional;"['""4 quartos', '163m²', '4 vagas"">4 quartos', '163m²', '4 vagas']"
R$ 398.000;Apartamento no Tirol - 169m²;Hoje às 08:55;Profissional;"['""3 quartos', '169m²', 'Condomínio: R$ 1.100', '1 vaga"">3 quartos', '169m²', 'Condomínio: R$ 1.100', '1 vaga']"
R$ 490.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:10696;Hoje às 08:45;Profissional;"['""3 quartos', '103m²', 'Condomínio: R$ 960', '2 vagas"">3 quartos', '103m²', 'Condomínio: R$ 960', '2 vagas']"
R$ 15.000;Vendo ou troco Apartamento no VIVENDAS do PLANALTO;Hoje às 08:44;Profissional;"['""2 quartos"">2 quartos']"
R$ 149.900;Flat no Quality à venda por R$ 149.900 - Ponta Negra - Natal/RN;Hoje às 08:30;Profissional;"['""1 quarto', '20m²', 'Condomínio: R$ 450', '1 vaga"">1 quarto', '20m²', 'Condomínio: R$ 450', '1 vaga']"
R$ 540.000;Apartamento à venda com 3 quartos, 92 m2 no Ibiza de Capim Macio/ Natal-RN Remax Gama;Hoje às 08:29;Profissional;"['""3 quartos', '92m²', '2 vagas"">3 quartos', '92m²', '2 vagas']"
R$ 280.000;HC - Apto no Tirol 2/4  (  com projetados);Hoje às 08:27;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 550', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 550', '1 vaga']"
R$ 620.440;Apartamento à venda com 4 dormitórios em Capim macio, Natal cod:815349;Hoje às 08:25;Profissional;"['""4 quartos', '110m²', '2 vagas"">4 quartos', '110m²', '2 vagas']"
R$ 620.000;Apartamento 3 suites à venda, Lagoa Nova, Natal.;Hoje às 08:13;Profissional;"['""3 quartos', '110m²', 'Condomínio: R$ 700', '2 vagas"">3 quartos', '110m²', 'Condomínio: R$ 700', '2 vagas']"
R$ 210.000;Vendo Prédio Com 8 Kitnets, Planalto, Natal;Hoje às 08:10;Profissional;"['""1 quarto', '35m²', '1 vaga"">1 quarto', '35m²', '1 vaga']"
R$ 7.000.000;Motel de luxo na zona sul  mais informações whats *;Hoje às 07:52;Profissional;"['""5 ou mais quarto', '4770m²', 'Condomínio: R$ 0', '5 ou mais vaga"">5 ou mais quarto', '4770m²', 'Condomínio: R$ 0', '5 ou mais vaga']"
R$ 1.800.000;21 apartamentos alugados rende 18 mil ao mês para investidores;Hoje às 07:45;Profissional;"['""5 ou mais quarto', '50m²', 'Condomínio: R$ 100', '5 ou mais vaga"">5 ou mais quarto', '50m²', 'Condomínio: R$ 100', '5 ou mais vaga']"
R$ 225.000;Apartamento 2/4 - Vivace Candelária - 55m² - Candelária;Hoje às 07:07;Profissional;"['""2 quartos', '55m²', 'Condomínio: R$ 600', '1 vaga"">2 quartos', '55m²', 'Condomínio: R$ 600', '1 vaga']"
R$ 700.000;O unico Apto de 3 qtos de frente para o Mar de Ponta Negra;Hoje às 03:21;Profissional;"['""3 quartos', '97m²', 'Condomínio: R$ 0', '1 vaga"">3 quartos', '97m²', 'Condomínio: R$ 0', '1 vaga']"
R$ 149.900;Torne seu sonho em realidade !;Ontem às 23:22;Profissional;"['""2 quartos', '53m²', 'Condomínio: R$ 252', '1 vaga"">2 quartos', '53m²', 'Condomínio: R$ 252', '1 vaga']"
R$ 920.000;Apartamento à venda com 3 dormitórios em Lagoa nova, Natal cod:AV-8205;Ontem às 23:21;Profissional;"['""3 quartos', 'Condomínio: R$ 823', '2 vagas"">3 quartos', 'Condomínio: R$ 823', '2 vagas']"
R$ 250.000;Apartamento em Capim Macio à venda, 02 Quartos com suíte;Ontem às 23:17;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 407', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 407', '1 vaga']"
R$ 430.000;Apartamento à venda com 3 dormitórios em Tirol, Natal cod:APV 29236;Ontem às 22:51;Profissional;"['""3 quartos', '147m²', 'Condomínio: R$ 1.100', '2 vagas"">3 quartos', '147m²', 'Condomínio: R$ 1.100', '2 vagas']"
R$ 5.800.000;Apartamento à venda com 4 dormitórios em Petrópolis, Natal cod:Issahasbun;Ontem às 22:46;Profissional;"['""4 quartos', '480m²', '4 vagas"">4 quartos', '480m²', '4 vagas']"
R$ 850.000;Apartamento à venda com 4 dormitórios em Tirol, Natal cod:BEETHOVEN;Ontem às 22:46;Profissional;"['""4 quartos', '250m²', 'Condomínio: R$ 1.830', '3 vagas"">4 quartos', '250m²', 'Condomínio: R$ 1.830', '3 vagas']"
R$ 530.000;Apartamento com vista panorâmica e suíte - tirol;Ontem às 22:31;Profissional;"['""3 quartos', '90m²', 'Condomínio: R$ 747', '2 vagas"">3 quartos', '90m²', 'Condomínio: R$ 747', '2 vagas']"
R$ 898.601;Apartamento de Alto Padrão em Lagoa Nova - AP0191;Ontem às 22:31;Profissional;"['""4 quartos', '193m²', '3 vagas"">4 quartos', '193m²', '3 vagas']"
R$ 260.000;Porto tropical venda oportunidade;Ontem às 22:23;Profissional;"['""2 quartos', '56m²', '1 vaga"">2 quartos', '56m²', '1 vaga']"
R$ 300.000;Apartamento à venda com 3 dormitórios em Ponta negra, Natal cod:EI23038;Ontem às 22:21;Profissional;"['""3 quartos', '97m²', 'Condomínio: R$ 530', '2 vagas"">3 quartos', '97m²', 'Condomínio: R$ 530', '2 vagas']"
